"Rank","Player","Team","Positions","FG%","FT%","3PM","REB","AST","STL","BLK","PTS","Overall"
"252","Derrick Jones Jr.","MIA","SF,PF","0.25","-0.96","-0.38","0.20","-0.63","0.20","0.56","-0.27","-1.04"
"253","Trey Burke","NYK","PG","-0.87","0.47","-0.03","-0.44","0.30","-0.04","-0.62","0.17","-1.06"
"254","Kris Dunn","CHI","PG,SG","0.25","0.05","-0.62","-0.37","0.55","-0.10","-0.56","-0.29","-1.09"
"255","James Ennis III","HOU","SG,SF","0.28","-0.47","0.15","-0.35","-0.60","0.20","-0.10","-0.25","-1.14"
"256","Caris LeVert","BKN","SF,SG","0.19","-0.32","-0.20","-0.40","-0.03","-0.04","-0.42","0.04","-1.19"
"257","Zaza Pachulia","DET","C","-0.32","0.07","-0.87","0.40","-0.11","0.26","-0.23","-0.44","-1.24"
"258","Tony Parker","CHA","PG","-0.30","-0.76","-0.59","-0.48","1.13","-0.16","-0.42","0.26","-1.32"
"259","Shaun Livingston","GSW","PG,SG","-0.07","-0.05","-0.87","-0.36","0.16","0.02","0.30","-0.48","-1.36"
"260","Devin Harris","DAL","PG,SG","-0.56","0.35","-0.03","-0.52","-0.32","0.32","-0.36","-0.26","-1.37"
"261","Mike Scott","LAC","PF","-0.89","-0.21","0.40","0.35","-0.30","-0.10","-0.36","-0.29","-1.40"
"262","Furkan Korkmaz","PHI","SG","-0.75","0.18","0.25","-0.26","-0.32","0.32","-0.62","-0.24","-1.43"
"263","Shaquille Harrison","CHI","PG,SG","-0.48","-1.16","-0.52","-0.19","-0.11","1.39","-0.10","-0.29","-1.45"
"264","Austin Rivers","HOU","PG,SG","-1.02","-1.59","0.71","-0.15","0.31","0.20","-0.03","0.09","-1.47"
"265","Kevin Knox","NYK","SF,PF","-2.08","-0.93","1.03","0.36","-0.40","-0.04","-0.03","0.59","-1.49"
"266","Jonathon Simmons","ORL","SG,SF","-1.43","0.31","-0.34","-0.23","0.28","-0.16","0.10","-0.03","-1.49"
"267","Jamal Crawford","PHO","SG,SF","-1.63","0.48","0.01","-0.60","0.93","-0.27","-0.29","-0.12","-1.50"
"268","Torrey Craig","DEN","SG,SF","-0.49","-0.48","-0.10","0.15","-0.40","-0.27","0.30","-0.32","-1.62"
"269","Omari Spellman","ATL","PF","-0.61","0.01","-0.17","-0.01","-0.49","-0.10","0.17","-0.43","-1.63"
"270","Sam Dekker","WAS","SF,PF","0.50","-0.02","-0.62","-0.33","-0.57","0.38","-0.56","-0.42","-1.63"
"271","Aron Baynes","BOS","C","-0.05","0.44","-0.45","0.05","-0.38","-0.81","-0.03","-0.46","-1.69"
"272","OG Anunoby","TOR","SF,PF","-0.33","-1.56","0.50","0.01","-0.46","0.20","-0.16","0.02","-1.78"
"273","Danuel House","HOU","SG,F","0.12","0.20","0.04","-0.36","-0.59","-0.45","-0.42","-0.33","-1.79"
"274","James Johnson","MIA","SF,PF","-0.27","-0.11","-0.13","-0.33","-0.11","-0.22","-0.36","-0.29","-1.80"
"275","Wayne Ellington","MIA","SG,SF","-1.02","0.14","0.75","-0.58","-0.43","0.20","-0.56","-0.34","-1.84"
"276","Josh Okogie","MIN","SG","-1.28","-0.33","-0.24","-0.05","-0.29","0.56","-0.03","-0.20","-1.85"
"277","Ivica Zubac","LAL","C","0.71","0.32","-0.87","-0.32","-0.65","-0.81","0.30","-0.58","-1.89"
"278","Seth Curry","POR","PG,SG","-0.47","0.21","0.64","-0.56","-0.38","-0.45","-0.62","-0.28","-1.92"
"279","Amir Johnson","PHI","PF,C","0.37","-0.01","-0.62","-0.21","-0.25","-0.51","-0.23","-0.54","-2.00"
"280","Jake Layman","POR","PF,SF","0.37","-0.31","-0.17","-0.38","-0.71","-0.16","-0.23","-0.43","-2.00"
"281","Alex Abrines","OKC","SG","-1.01","0.26","0.54","-0.53","-0.54","-0.04","-0.36","-0.36","-2.03"
"282","Cheick Diallo","NOR","PF,C","0.47","0.03","-0.87","-0.02","-0.71","-0.39","0.10","-0.65","-2.04"
"283","Ish Smith","DET","PG","-0.60","-0.15","0.01","-0.58","0.19","-0.39","-0.36","-0.19","-2.07"
"284","Goran Dragic","MIA","PG,SG","-0.59","-0.02","-0.10","-0.57","0.22","-0.45","-0.49","-0.14","-2.14"
"285","Rajon Rondo","LAL","PG","-0.06","-0.24","-0.52","-0.38","0.63","-0.27","-0.75","-0.54","-2.14"
"286","Yogi Ferrell","SAC","PG,SG","-0.08","0.39","-0.27","-0.65","-0.18","-0.45","-0.56","-0.36","-2.15"
"287","Elie Okobo","PHO","PG","-0.67","0.26","-0.24","-0.57","-0.00","-0.04","-0.56","-0.43","-2.24"
"288","Matthew Dellavedova","CLE","PG,SG","-0.01","0.32","-0.10","-0.73","0.23","-0.69","-0.75","-0.52","-2.25"
"289","Solomon Hill","NOR","SG,SF","-0.42","-0.31","-0.24","-0.10","-0.32","-0.10","-0.23","-0.57","-2.28"
"290","Bruce Brown Jr.","DET","G","-0.63","-0.26","-0.52","-0.21","-0.33","-0.22","0.23","-0.47","-2.40"
"291","Gary Clark","HOU","F","-0.89","0.18","-0.10","-0.31","-0.66","-0.39","0.43","-0.69","-2.44"
"292","Anthony Tolliver","MIN","SF,PF","-0.17","-0.15","0.15","-0.50","-0.62","-0.51","-0.10","-0.56","-2.46"
"293","Aaron Holiday","IND","PG","-0.29","0.28","-0.38","-0.62","-0.33","-0.39","-0.23","-0.50","-2.47"
"294","Isaiah Canaan","FA","PG","-0.55","-0.03","0.01","-0.51","0.12","-0.33","-0.75","-0.44","-2.48"
"295","Mario Hezonja","NYK","SG,SF","-1.06","-0.83","0.01","-0.00","-0.37","0.32","-0.49","-0.07","-2.48"
"296","Sterling Brown","MIL","SG","-0.09","0.05","-0.24","-0.23","-0.44","-0.51","-0.56","-0.50","-2.52"
"297","Kosta Koufos","SAC","PF,C","0.08","-0.43","-0.87","0.17","-0.48","-0.33","-0.10","-0.65","-2.60"
"298","Alfonzo McKinnie","GSW","PF","0.10","-0.70","-0.13","0.10","-0.65","-0.63","-0.36","-0.36","-2.63"
"299","Jalen Brunson","DAL","PG","-0.23","-0.69","-0.38","-0.55","0.11","0.02","-0.75","-0.25","-2.71"
"300","Hamidou Diallo","OKC","G","0.19","-0.67","-0.73","-0.25","-0.65","-0.10","-0.16","-0.36","-2.72"
"301","Robert Williams","BOS","C,PF","0.54","-0.20","-0.87","-0.56","-0.82","-0.87","0.89","-0.83","-2.73"
"302","Luke Kornet","NYK","PF,C","-0.11","0.08","0.04","-0.58","-0.52","-0.75","-0.29","-0.59","-2.73"
"303","Wayne Selden","CHI","SG","-0.59","-0.02","-0.17","-0.57","-0.29","-0.45","-0.36","-0.31","-2.76"
"304","Frank Mason","SAC","PG","-0.52","-0.32","-0.55","-0.63","0.34","-0.22","-0.42","-0.45","-2.77"
"305","Omri Casspi","MEM","SF,PF","0.49","-0.63","-0.55","-0.23","-0.52","-0.51","-0.36","-0.45","-2.78"
"306","Norman Powell","TOR","SG,SF","0.06","0.10","-0.34","-0.60","-0.52","-0.45","-0.49","-0.54","-2.79"
"307","Patrick Patterson","OKC","PF,C","-1.14","-0.39","0.18","-0.07","-0.54","-0.27","-0.16","-0.40","-2.79"
"308","Donte DiVincenzo","MIL","SG","-0.47","0.08","-0.27","-0.44","-0.43","-0.33","-0.36","-0.57","-2.80"
"309","Thon Maker","MIL","PF,C","-0.27","-1.06","-0.03","-0.18","-0.63","-0.63","0.43","-0.43","-2.80"
"310","Antonio Blakeney","CHI","PG,SG","-0.59","-0.58","0.15","-0.40","-0.60","-0.45","-0.42","0.09","-2.81"
"311","Chandler Hutchison","CHI","SG,SF","-0.14","-0.77","-0.55","0.18","-0.48","-0.16","-0.49","-0.43","-2.84"
"312","Thabo Sefolosha","UTH","SG,SF","0.15","-0.40","-0.41","-0.31","-0.70","0.20","-0.69","-0.72","-2.87"
"313","Terrance Ferguson","OKC","SG,SF","-0.73","-0.15","-0.06","-0.51","-0.55","-0.22","-0.23","-0.46","-2.91"
"314","Wesley Johnson","NOR","SG,SF","-0.31","0.05","-0.20","-0.46","-0.60","-0.45","-0.29","-0.65","-2.92"
"315","John Henson","CLE","PF,C","0.02","-0.20","-0.48","-0.30","-0.63","-0.63","-0.03","-0.70","-2.96"
"316","MarShon Brooks","CHI","SG,SF","-0.11","-0.27","-0.34","-0.55","-0.46","-0.51","-0.49","-0.24","-2.98"
"317","Wes Iwundu","ORL","SG,SF","-0.56","0.40","-0.55","-0.47","-0.49","-0.45","-0.42","-0.48","-3.03"
"318","Troy Daniels","PHO","PG,SG","-0.23","0.11","0.08","-0.77","-0.73","-0.27","-0.69","-0.58","-3.07"
"319","Troy Williams","SAC","SG,SF","0.00","-0.31","-0.38","-0.45","-0.70","-0.45","-0.23","-0.60","-3.11"
"320","Markelle Fultz","PHI","PG,SG","-0.41","-0.91","-0.73","-0.31","0.08","-0.04","-0.42","-0.38","-3.12"
"321","Harry Giles","SAC","PF,C","0.08","-0.80","-0.87","-0.26","-0.40","-0.04","-0.42","-0.47","-3.18"
"322","Jon Leuer","DET","PF,C","0.64","0.06","-0.87","-0.44","-0.71","-0.69","-0.56","-0.63","-3.20"
"323","Jose Calderon","DET","PG","-0.76","-0.04","-0.62","-0.58","0.38","-0.33","-0.56","-0.73","-3.25"
"324","Frank Kaminsky","CHA","PF,C","0.18","-0.40","-0.41","-0.45","-0.48","-0.75","-0.42","-0.52","-3.26"
"325","Pau Gasol","SAS","PF,C","0.15","-0.09","-0.73","-0.40","-0.38","-0.99","-0.16","-0.77","-3.38"
