"Rank","Player","Team","Positions","FG%","FT%","3PM","REB","AST","STL","BLK","PTS","Overall"
"415","Chandler Parsons","MEM","SF,PF","-0.05","-0.00","-0.76","-0.95","-0.82","-0.99","-0.69","-0.95","-5.22"
"416","Devin Robinson","WAS","SG,SF","0.05","-0.04","-0.87","-0.93","-0.84","-0.93","-0.69","-0.98","-5.23"
"417","Malachi Richardson","TOR","SG","-0.26","0.02","-0.62","-0.87","-0.85","-0.99","-0.75","-0.91","-5.24"
"418","Brandon Goodwin","DEN","G","-0.02","0.12","-0.80","-0.99","-0.76","-1.05","-0.75","-0.98","-5.24"
"419","Marquese Chriss","HOU","PF,C","-0.14","-0.04","-0.83","-0.89","-0.81","-0.99","-0.62","-0.94","-5.26"
"420","Jaylen Adams","ATL","G","-0.05","-0.00","-0.80","-0.96","-0.79","-0.99","-0.69","-1.00","-5.28"
"421","Thomas Welsh","DEN","C","0.03","-0.00","-0.76","-0.96","-0.81","-1.05","-0.75","-0.97","-5.28"
"422","Wade Baldwin IV","POR","PG","-0.26","-0.05","-0.80","-0.90","-0.70","-1.05","-0.62","-0.92","-5.30"
"423","Henry Ellenson","DET","PF","-0.04","0.06","-0.80","-0.90","-0.84","-1.05","-0.75","-0.97","-5.30"
"424","Khyri Thomas","DET","PG","-0.09","-0.11","-0.73","-0.90","-0.81","-0.99","-0.75","-0.93","-5.31"
"425","Jaylen Morris","MIL","G","-0.04","-0.07","-0.83","-0.94","-0.79","-0.93","-0.75","-0.98","-5.34"
"426","Grayson Allen","UTH","SG","-0.56","-0.13","-0.48","-0.94","-0.74","-0.99","-0.75","-0.74","-5.35"
"427","Troy Caupain","ORL","SG","0.01","-0.00","-0.83","-0.97","-0.81","-0.99","-0.75","-1.00","-5.35"
"428","Theo Pinson","BKN","F","-0.17","0.06","-0.87","-0.91","-0.73","-0.99","-0.75","-0.99","-5.35"
"429","Jawun Evans","PHO","PG","-0.17","-0.00","-0.87","-0.89","-0.73","-0.93","-0.75","-1.01","-5.35"
"430","Nick Young","FA","SG,SF","-0.07","-0.00","-0.76","-0.98","-0.82","-1.05","-0.69","-0.99","-5.37"
"431","Isaac Bonga","LAL","F","-0.08","-0.04","-0.87","-0.95","-0.81","-0.87","-0.75","-1.00","-5.37"
"432","Yuta Watanabe","MEM","F","-0.02","0.06","-0.87","-0.94","-0.85","-1.05","-0.69","-1.01","-5.38"
"433","Duncan Robinson","MIA","G","-0.05","-0.00","-0.80","-0.94","-0.85","-0.99","-0.75","-1.00","-5.39"
"434","Kenrich Williams","NOR","F","-0.09","-0.00","-0.83","-0.89","-0.85","-0.99","-0.75","-0.98","-5.40"
"435","Luc Mbah a Moute","LAC","SF,PF","-0.02","-0.23","-0.80","-0.92","-0.82","-0.99","-0.69","-0.94","-5.41"
"436","PJ Dozier","BOS","G","0.02","-0.00","-0.83","-0.95","-0.85","-1.05","-0.75","-0.99","-5.42"
"437","Rawle Alkins","CHI","G","-0.06","-0.00","-0.83","-0.96","-0.82","-0.99","-0.75","-1.01","-5.43"
"438","DeVaughn Akoon-Purcell","FA","G","-0.11","-0.07","-0.87","-0.95","-0.76","-0.93","-0.75","-0.99","-5.43"
"439","Patrick McCaw","CLE","SG,SF","-0.08","-0.00","-0.83","-0.97","-0.82","-0.99","-0.75","-1.00","-5.46"
"440","D.J. Stephens","FA","SF","0.01","-0.00","-0.87","-0.99","-0.85","-0.99","-0.75","-1.01","-5.47"
"441","C.J. Williams","MIN","SG","-0.09","-0.00","-0.87","-0.97","-0.81","-0.99","-0.75","-0.98","-5.47"
"442","Marcus Derrickson","GSW","F","-0.08","0.06","-0.83","-0.96","-0.85","-1.05","-0.75","-0.99","-5.47"
"443","Vincent Edwards","HOU","F","0.01","-0.00","-0.83","-0.98","-0.85","-1.05","-0.75","-1.01","-5.48"
"444","Lonnie Walker","SAS","SG","0.01","-0.00","-0.83","-0.98","-0.85","-1.05","-0.75","-1.01","-5.48"
"445","Amile Jefferson","ORL","PF","-0.03","0.06","-0.87","-0.98","-0.85","-1.05","-0.75","-1.01","-5.50"
"446","Zhou Qi","FA","PF,C","0.04","-0.00","-0.87","-0.99","-0.85","-1.05","-0.75","-1.01","-5.50"
"447","Naz Mitrou-Long","UTH","G","-0.02","-0.00","-0.83","-0.99","-0.84","-1.05","-0.75","-1.01","-5.50"
"448","Isaiah Briscoe","ORL","G","-0.14","-0.23","-0.83","-0.91","-0.68","-1.05","-0.75","-0.90","-5.51"
"449","Eric Moreland","FA","PF","0.00","-0.00","-0.87","-0.96","-0.85","-1.05","-0.75","-1.02","-5.51"
"450","Zach Lofton","DET","G","-0.03","-0.00","-0.87","-0.99","-0.85","-0.99","-0.75","-1.02","-5.51"
"451","Jordan McRae","WAS","PG,SG,PF","-0.20","-0.00","-0.87","-0.94","-0.82","-0.99","-0.69","-1.01","-5.52"
"452","Ike Anigbogu","IND","C","-0.09","-0.00","-0.87","-0.96","-0.84","-1.05","-0.69","-1.02","-5.52"
"453","Jerryd Bayless","MIN","PG,SG","-0.31","-0.16","-0.76","-0.94","-0.70","-0.93","-0.75","-0.97","-5.52"
"454","Udonis Haslem","MIA","PF","-0.05","-0.00","-0.87","-0.94","-0.85","-1.05","-0.75","-1.01","-5.53"
"455","Jacob Evans III","GSW","F","-0.34","-0.10","-0.83","-0.92","-0.68","-0.99","-0.69","-0.98","-5.53"
"456","Treveon Graham","BKN","SG,SF","-0.15","-0.00","-0.87","-0.93","-0.82","-0.99","-0.75","-1.01","-5.53"
"457","George King","PHO","F","0.00","-0.00","-0.87","-0.98","-0.85","-1.05","-0.75","-1.02","-5.53"
"458","Alex Caruso","LAL","SG","0.00","-0.00","-0.87","-0.98","-0.85","-1.05","-0.75","-1.02","-5.53"
"459","Keita Bates-Diop","MIN","SF","-0.11","-0.00","-0.87","-0.96","-0.85","-1.05","-0.69","-1.01","-5.54"
"460","Omer Asik","FA","PF,C","0.00","-0.00","-0.87","-0.99","-0.85","-1.05","-0.75","-1.02","-5.54"
"461","Kostas Antetokounmpo","DAL","SF,PF","0.00","-0.00","-0.87","-0.99","-0.85","-1.05","-0.75","-1.02","-5.54"
"462","Alan Williams","FA","PF,C","0.00","-0.00","-0.87","-0.99","-0.85","-1.05","-0.75","-1.02","-5.54"
"463","Daryl Macon","DAL","G","0.00","-0.00","-0.87","-0.99","-0.85","-1.05","-0.75","-1.02","-5.54"
"464","Trevon Bluiett","NOR","G","0.00","-0.00","-0.87","-0.99","-0.85","-1.05","-0.75","-1.02","-5.54"
"465","Billy Preston","FA","F","0.00","-0.00","-0.87","-0.99","-0.85","-1.05","-0.75","-1.02","-5.54"
"466","Keenan Evans","DET","G","0.00","-0.00","-0.87","-0.99","-0.85","-1.05","-0.75","-1.02","-5.54"
"467","Joe Chealey","CHA","G","0.00","-0.00","-0.87","-0.99","-0.85","-1.05","-0.75","-1.02","-5.54"
"468","Denzel Valentine","CHI","SG,SF","0.00","-0.00","-0.87","-0.99","-0.85","-1.05","-0.75","-1.02","-5.54"
"469","Angel Delgado","LAC","C","0.00","-0.00","-0.87","-0.99","-0.85","-1.05","-0.75","-1.02","-5.54"
"470","Wenyen Gabriel","SAC","F","0.00","-0.00","-0.87","-0.99","-0.85","-1.05","-0.75","-1.02","-5.54"
"471","Yante Maten","MIA","F","0.00","-0.00","-0.87","-0.99","-0.85","-1.05","-0.75","-1.02","-5.54"
"472","Trevon Duval","MIL","G","0.00","-0.00","-0.87","-0.99","-0.85","-1.05","-0.75","-1.02","-5.54"
"473","Brandon Sampson","CHI","G","0.00","-0.00","-0.87","-0.99","-0.85","-1.05","-0.75","-1.02","-5.54"
"474","Tyler Ulis","FA","PG,SG","0.00","-0.00","-0.87","-0.99","-0.85","-1.05","-0.75","-1.02","-5.54"
"475","Ray Spalding","DAL","F","0.00","-0.00","-0.87","-0.99","-0.85","-1.05","-0.75","-1.02","-5.54"
"476","John Holland","FA","SG","0.00","-0.00","-0.87","-0.99","-0.85","-1.05","-0.75","-1.02","-5.54"
"477","Jabari Bird","BOS","SG","0.00","-0.00","-0.87","-0.99","-0.85","-1.05","-0.75","-1.02","-5.54"
"478","Jodie Meeks","FA","SG","0.00","-0.00","-0.87","-0.99","-0.85","-1.05","-0.75","-1.02","-5.54"
"479","DeMarcus Cousins","GSW","PF,C","0.00","-0.00","-0.87","-0.99","-0.85","-1.05","-0.75","-1.02","-5.54"
"480","Justin Patton","PHI","C","0.00","-0.00","-0.87","-0.99","-0.85","-1.05","-0.75","-1.02","-5.54"
"481","Ben Moore","SAS","SF","0.00","-0.00","-0.87","-0.99","-0.85","-1.05","-0.75","-1.02","-5.54"
"482","Tyler Cavanaugh","UTH","PF","0.00","-0.00","-0.87","-0.99","-0.85","-1.05","-0.75","-1.02","-5.54"
"483","Isaiah Hicks","NYK","F","0.00","-0.00","-0.87","-0.99","-0.85","-1.05","-0.75","-1.02","-5.54"
"484","Isaiah Thomas","DEN","PG","0.00","-0.00","-0.87","-0.99","-0.85","-1.05","-0.75","-1.02","-5.54"
"485","Walter Lemon Jr.","FA","G","0.00","-0.00","-0.87","-0.99","-0.85","-1.05","-0.75","-1.02","-5.54"
"486","Zach Randolph","SAC","PF,C","0.00","-0.00","-0.87","-0.99","-0.85","-1.05","-0.75","-1.02","-5.54"
"487","Michael Porter Jr.","DEN","PF","0.00","-0.00","-0.87","-0.99","-0.85","-1.05","-0.75","-1.02","-5.54"
"488","Andre Roberson","OKC","SG,SF","0.00","-0.00","-0.87","-0.99","-0.85","-1.05","-0.75","-1.02","-5.54"
"489","CJ Wilcox","FA","SG","0.00","-0.00","-0.87","-0.99","-0.85","-1.05","-0.75","-1.02","-5.54"
"490","Jarnell Stokes","MEM","PF","0.00","-0.00","-0.87","-0.99","-0.85","-1.05","-0.75","-1.02","-5.54"
"491","Kristaps Porzingis","NYK","PF,C","0.00","-0.00","-0.87","-0.99","-0.85","-1.05","-0.75","-1.02","-5.54"
"492","Dejounte Murray","SAS","PG","0.00","-0.00","-0.87","-0.99","-0.85","-1.05","-0.75","-1.02","-5.54"
"493","Johnathan Motley","LAC","SF","0.00","-0.00","-0.87","-0.99","-0.85","-1.05","-0.75","-1.02","-5.54"
"494","Jarred Vanderbilt","DEN","F","0.00","-0.00","-0.87","-0.99","-0.85","-1.05","-0.75","-1.02","-5.54"
"495","Travis Wear","FA","PF","0.00","-0.00","-0.87","-0.99","-0.85","-1.05","-0.75","-1.02","-5.54"
"496","Timofey Mozgov","ORL","C","0.00","-0.00","-0.87","-0.99","-0.85","-1.05","-0.75","-1.02","-5.54"
"497","Zhaire Smith","PHI","SF,SG","0.00","-0.00","-0.87","-0.99","-0.85","-1.05","-0.75","-1.02","-5.54"
"498","Dzanan Musa","BKN","SF,SG","-0.03","-0.19","-0.87","-0.96","-0.84","-0.93","-0.75","-0.97","-5.55"
"499","Tyler Davis","FA","C","-0.03","-0.00","-0.87","-0.98","-0.85","-1.05","-0.75","-1.02","-5.56"
"500","Melvin Frazier","ORL","F","-0.09","-0.00","-0.87","-0.98","-0.85","-0.99","-0.75","-1.02","-5.56"
"501","Davon Reed","IND","SG","-0.03","-0.00","-0.87","-0.99","-0.85","-1.05","-0.75","-1.02","-5.57"
"502","Okaro White","FA","PF","-0.06","-0.00","-0.87","-0.97","-0.85","-1.05","-0.75","-1.02","-5.58"
"503","J.P. Macura","CHA","G","-0.11","-0.00","-0.87","-0.97","-0.82","-1.05","-0.75","-1.01","-5.59"
"504","Jared Terrell","MIN","G","-0.27","-0.07","-0.83","-0.97","-0.82","-0.93","-0.69","-1.01","-5.59"
"505","Tony Bradley","UTH","C","-0.09","-0.00","-0.87","-0.96","-0.85","-1.05","-0.75","-1.02","-5.60"
"506","Alize Johnson","IND","F","-0.02","-0.19","-0.87","-0.95","-0.85","-1.05","-0.69","-1.01","-5.65"
"507","Edmond Sumner","IND","PG","-0.08","-0.19","-0.83","-0.96","-0.84","-0.99","-0.75","-1.00","-5.65"
"508","Dion Waiters","MIA","SG,SF","-0.07","-0.19","-0.83","-0.97","-0.81","-1.05","-0.75","-0.99","-5.68"
"509","Gary Trent Jr.","POR","G","-0.13","-0.19","-0.80","-0.95","-0.85","-1.05","-0.75","-0.98","-5.71"
"510","Brandon Knight","HOU","PG,SG","-0.52","-0.07","-0.76","-0.95","-0.78","-0.93","-0.75","-0.97","-5.73"
"511","Anfernee Simons","POR","SG","-0.22","-0.26","-0.87","-0.92","-0.82","-1.05","-0.75","-0.98","-5.87"
""
""
